Index,IUPAC
272,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp8
273,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
274,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
275,Neu5Ac(a2-6)Gal(b1-4)Glc(b1-Sp0
276,Neu5Ac(a2-6)Gal(b1-4)Glc(b1-Sp8
277,Neu5Ac(a2-6)Gal(b1-Sp8
278,Neu5Ac(a2-8)Neu5Ac(a1-Sp8
279,Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0
280,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0
281,Neu5Ac(b2-6)GalNAc(a1-Sp8
282,Neu5Ac(b2-6)Gal(b1-4)GlcNAc(b1-Sp8
283,Neu5Gc(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0
284,Neu5Gc(a2-3)Gal(b1-3)GlcNAc(b1-Sp0
285,Neu5Gc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
286,Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-Sp0
287,Neu5Gc(a2-3)Gal(b1-4)Glc(b1-Sp0
288,Neu5Gc(a2-6)GalNAc(a1-Sp0
289,Neu5Gc(a2-6)Gal(b1-4)GlcNAc(b1-Sp0
290,Neu5Gc(a1-Sp8
291,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14
292,Gal(b1-3)GalNAc(a1-Sp14
293,Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0
294,Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp0
295,Gal(b1-4)[Fuc(a1-3)](6S)Glc(b1-Sp0
296,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0
297,Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0
298,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0
299,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0
300,4S(3S)Gal(b1-4)GlcNAc(b1-Sp0
301,(6S)Gal(b1-4)(6S)GlcNAc(b1-Sp0
302,(6P)Glc(b1-Sp10
303,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14
304,Gal(b1-3)[Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]GalNAc(a1-Sp14
305,Gal(b1-3)Gal(b1-4)GlcNAc(b1-Sp8
306,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
307,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp0
308,GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp0
309,Gal(b1-4)GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp0
310,Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp0
311,GalNAc(a1-Sp15
312,GalNAc(b1-3)Gal(b1-Sp8
313,GlcA(b1-3)GlcNAc(b1-Sp8
