ancient,old,new,Galectin-4 (20ug/ml) Slide#: 13620 Cfg#2283 04/01/2011 V5.0 Alexa488 CMZ,Gal-4 (0.5ug/mL) Slide# 13116 CFG# 1440 08/26/2010 V4.2 Alexa488 CMZ,Gal-4 (5ug/mL) Slide# 13116 CFG# 1440 08/26/2010 V4.2 Alexa488 CMZ,Gal-4 (50ug/mL) Slide# 13116 CFG# 1440 08/26/2010 V4.2 Alexa488 CMZ,Gal-4 (100ug/mL) Slide# 13116 CFG# 1440 08/30/2010 V4.2 Alexa488 CMZ
Fucα1-2Galβ1-4GlcNAcβ-Sp0,Fuca1-2Galb1-4GlcNAcb-Sp0,Fuca1-2Galb1-4GlcNAcb-Sp0,4.571175,11.2995,11.68625,344.1579,2313.33185
Fucα1-2Galβ1-4GlcNAcβ-Sp8,Fuca1-2Galb1-4GlcNAcb-Sp8,Fuca1-2Galb1-4GlcNAcb-Sp8,13.993075,22.5875,53.4014,2437.882275,9616.016475
Fucα1-2Galβ1-4Glcβ-Sp0,Fuca1-2Galb1-4Glcb-Sp0,Fuca1-2Galb1-4Glcb-Sp0,24.50635,16.00345,0.9884,10.928575,10.247
Fucα1-2Galβ-Sp8,Fuca1-2Galb-Sp8,Fuca1-2Galb-Sp8,17.213925,3.059025,9.6826,40.9852,50.0148
Fucα1-3GlcNAcβ-Sp8,Fuca1-3GlcNAcb-Sp8,Fuca1-3GlcNAcb-Sp8,11.26715,7.6181,10.561125,9.01685,5.044575
Fucα1-4GlcNAcβ-Sp8,Fuca1-4GlcNAcb-Sp8,Fuca1-4GlcNAcb-Sp8,7.55175,13.747325,10.300975,18.49005,26.6768
Fucβ1-3GlcNAcβ-Sp8,Fucb1-3GlcNAcb-Sp8,Fucb1-3GlcNAcb-Sp8,17.947,547.13095,10094.86087,30292.1252,33210.58455
GalNAcα1-3(Fucα1-2)Galβ1-3GlcNAcβ-Sp0,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,608.6901,14.029,33.236,30.732,89.27365
GalNAcα1-3(Fucα1-2)Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,8.451475,6.322925,0.044725,27.68005,27.75585
[3OSO3]Galβ1-4(Fucα1-3)Glc-Sp0,[3OSO3]Galb1-4(Fuca1-3)Glc-Sp0,(3S)Galb1-4(Fuca1-3)Glcb-Sp0,8.812375,149.63435,638.8631,9213.13085,32301.56925
GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ-Sp0,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,354.714425,141.5617,993.23205,12625.18573,34490.603
GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ-Sp8,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,555.3418,8303.502725,39314.61482,39221.76748,39937.02125
GalNAcα1-3(Fucα1-2)Galβ1-4Glcβ-Sp0,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,1676.4635,17.6144,27.8603,680.404875,6315.8921
GlcNAcβ1-3Galβ1-3GalNAcα-Sp8,GlcNAcb1-3Galb1-3GalNAca-Sp8,GlcNAcb1-3Galb1-3GalNAca-Sp8,16.137625,18.08665,6.73895,5.199925,25.8957
GalNAcα1-3(Fucα1-2)Galβ-Sp8,GalNAca1-3(Fuca1-2)Galb-Sp8,GalNAca1-3(Fuca1-2)Galb-Sp8,6.2631,21.575225,11.22785,26.737975,77.115225
GalNAcα1-3(Fucα1-2)Galβ-Sp18,GalNAca1-3(Fuca1-2)Galb-Sp18,GalNAca1-3(Fuca1-2)Galb-Sp18,8.983125,6.88565,9.40105,40.328225,102.065375
GalNAcα1-3GalNAcβ-Sp8,GalNAca1-3GalNAcb-Sp8,GalNAca1-3GalNAcb-Sp8,6.884925,14.98155,18.441975,24.402775,121.102275
GalNAcα1-3Galβ-Sp8,GalNAca1-3Galb-Sp8,GalNAca1-3Galb-Sp8,18.703,3.058025,4.410125,38.665175,65.014975
GalNAcα1-4(Fucα1-2)Galβ1-4GlcNAcβ-Sp8,GalNAca1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,GalNAca1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,10.95695,27.5165,16.5285,41.551875,142.098975
GalNAcβ1-3GalNAcα-Sp8,GalNAcb1-3GalNAca-Sp8,GalNAcb1-3GalNAca-Sp8,5.217675,9.28385,28.0397,907.75405,5985.9131
GalNAcβ1-3(Fucα1-2)Galβ-Sp8,GalNAcb1-3(Fuca1-2)Galb-Sp8,GalNAcb1-3(Fuca1-2)Galb-Sp8,13.91515,11.89885,15.1601,290.8986,1796.133175
GalNAcβ1-3Galα1-4Galβ1-4GlcNAcβ-Sp0,GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,26.982375,12.05255,23.608275,53.1693,53.495675
GalNAcβ1-4(Fucα1-3)GlcNAcβ-Sp0,GalNAcb1-4(Fuca1-3)GlcNAcb-Sp0,GalNAcb1-4(Fuca1-3)GlcNAcb-Sp0,13.054975,12.4207,10.72735,44.359825,472.47635
GalNAcβ1-4GlcNAcβ-Sp0,GalNAcb1-4GlcNAcb-Sp0,GalNAcb1-4GlcNAcb-Sp0,27.766675,20.93295,14.5706,62.190625,820.1792
GalNAcβ1-4GlcNAcβ-Sp8,GalNAcb1-4GlcNAcb-Sp8,GalNAcb1-4GlcNAcb-Sp8,16.454875,12.166575,4.49955,10.382275,47.852375
Galα1-2Galβ-Sp8,Gala1-2Galb-Sp8,Gala1-2Galb-Sp8,9.200025,224.30275,4239.697975,24839.07445,32624.63373
Galα1-3(Fucα1-2)Galβ1-3GlcNAcβ-Sp0,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,557.569975,175.136275,2039.50295,19289.84403,42457.94785
Galα1-3(Fucα1-2)Galβ1-3GlcNAcβ-Sp8,,Gala1-3(Fuca1-2)Galb1-3GlcNAcb-Sp8,429.83885,16.57425,34.431925,57.21165,75.5316
Galα1-3(Fucα1-2)Galβ1-4(Fucα1-3)GlcNAcβ-Sp0,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,Gala1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,13.02815,12.0485,5.205375,15.65585,31.941
